CurrentState,Receiver,Giver,Amount,,,
15,Family 23,Family 25,30,,,
15,Family 24,Family 25,30,,,
15,Family 25,Family 24,5,,,
15,Family 25,Family 23,5,,,
15,Family 25,Family 22,5,,,
15,Family 25,Community,90,,,
15,Family 23,Community,30,,,
15,Family 23,Family 22,5,,,
15,Family 23,Family 21,5,,,
15,Family 23,Family 20,20,,,
15,Family 22,Family 23,15,,,
15,Family 21,Family 23,15,,,
15,Family 20,Family 23,15,,,
15,Family 23,Family 21,15,,,
15,Family 21,Family 22,15,,,
15,Family 22,Community,15,,,
15,Family 22,Family 20,30,,,
15,Family 20,Family 21,8,,,
15,Family 20,Family 22,8,,,
15,Family 22,Family 20,20,,,
15,Family 22,Community,15,,,
15,Family 22,Community,15,,,
15,Family 19,Family 4,8,,,
15,Family 19,Family 13,8,,,
15,Family 19,Family 15,8,,,
15,Family 19,Family 17,45,,,
15,Family 17,Family 19,45,,,
15,Family 18,Family 19,45,,,
15,Family 20,Community,15,,,
15,Family 17,Family 4,8,,,
15,Family 17,Family 13,8,,,
15,Family 17,Family 15,8,,,
15,Family 18,Family 4,8,,,
15,Family 18,Family 13,8,,,
15,Family 18,Family 15,8,,,
15,Family 18,Family 17,45,,,
15,Family 15,Family 13,10,,,
15,Family 15,Community,45,,,
15,Family 16,Family 0,2,,,
15,Family 16,Family 1,2,,,
15,Family 16,Family 2,2,,,
15,Family 16,Family 3,2,,,
15,Family 16,Family 5,2,,,
15,Family 16,Family 3,20,,,
15,Family 16,Family 6,120,,,
15,Family 16,Family 7,15,,,
15,Family 6,Family 16,24,,,
15,Family 7,Family 16,24,,,
15,Family 10,Family 16,24,,,
15,Family 11,Family 16,24,,,
15,Family 13,Family 16,24,,,
15,Family 13,Community,30,,,
15,Family 14,Family 11,30,,,
15,Family 14,Family 0,2,,,
15,Family 14,Family 1,2,,,
15,Family 14,Family 2,2,,,
15,Family 14,Family 3,2,,,
15,Family 14,Family 5,2,,,
15,Family 11,Family 0,2,,,
15,Family 11,Family 1,2,,,
15,Family 11,Family 2,2,,,
15,Family 11,Family 3,2,,,
15,Family 11,Family 5,2,,,
15,Family 11,Family 6,25,,,
15,Family 11,Family 7,15,,,
15,Family 6,Family 11,60,,,
15,Family 7,Family 11,60,,,
15,Family 12,Community,90,,,
15,Family 12,Family 4,5,,,
15,Family 9,Family 3,5,,,
15,Family 10,Family 0,2,,,
15,Family 10,Family 1,2,,,
15,Family 10,Family 2,2,,,
15,Family 10,Family 3,2,,,
15,Family 10,Family 5,2,,,
15,Family 10,Family 6,25,,,
15,Family 10,Family 7,15,,,
15,Family 7,Family 6,20,,,
15,Family 7,Family 3,20,,,
15,Family 7,Family 0,2,,,
15,Family 7,Family 1,2,,,
15,Family 7,Family 2,2,,,
15,Family 7,Family 3,2,,,
15,Family 7,Family 5,2,,,
15,Family 7,Family 6,260,,,
15,Family 8,Family 0,20,,,
15,Family 8,Family 1,5,,,
15,Family 8,Family 2,10,,,
15,Family 8,Community,15,,,
15,Family 6,Family 3,20,,,
15,Family 6,Family 0,2,,,
15,Family 6,Family 1,2,,,
15,Family 6,Family 2,2,,,
15,Family 6,Family 3,2,,,
15,Family 6,Family 5,2,,,
15,Family 4,Community,60,,,
15,Family 5,Family 3,50,,,
15,Family 3,Family 5,15,,,
15,Family 5,Family 3,15,,,
15,Family 5,Family 3,45,,,
15,Family 2,Community,15,,,
15,Family 2,Family 1,10,,,
15,Family 2,Family 0,80,,,
15,Family 1,Family 2,15,,,
15,Family 0,Family 2,15,,,
15,Family 3,Community,15,,,
15,Family 1,Family 0,90,,,
16,Family 13,Community,350,,,
16,Family 15,Community,350,,,
16,Family 25,Community,350,,,
16,Family 26,Family 13,400,,,
16,Family 26,Family 15,400,,,
16,Family 26,Family 25,400,,,
16,Family 26,Community,660,,,
16,Family 26,Family 13,11,,,
16,Family 26,Family 15,11,,,
16,Family 26,Family 25,11,,,
16,Family 24,Family 23,60,,,
16,Family 24,Community,30,,,
16,Family 24,Family 20,5,,,
16,Family 24,Family 20,30,,,
16,Family 24,Family 22,30,,,
16,Family 24,Family 22,30,,,
16,Family 20,Family 24,15,,,
16,Family 21,Family 24,15,,,
16,Family 22,Family 24,15,,,
16,Family 23,Family 24,30,,,
16,Family 20,Family 24,10,,,
16,Family 21,Family 24,10,,,
16,Family 22,Family 24,10,,,
16,Family 23,Family 24,10,,,
16,Family 25,Family 24,10,,,
16,Family 21,Family 25,15,,,
16,Family 22,Family 25,15,,,
16,Family 23,Family 25,30,,,
16,Family 24,Family 25,30,,,
16,Family 25,Family 24,5,,,
16,Family 25,Family 23,5,,,
16,Family 25,Family 22,5,,,
16,Family 25,Community,90,,,
16,Family 23,Community,30,,,
16,Family 23,Family 22,5,,,
16,Family 23,Family 21,5,,,
16,Family 23,Family 20,20,,,
16,Family 22,Family 23,15,,,
16,Family 21,Family 23,15,,,
16,Family 20,Family 23,15,,,
16,Family 23,Family 21,15,,,
16,Family 21,Family 22,15,,,
16,Family 22,Community,15,,,
16,Family 22,Family 20,30,,,
16,Family 20,Family 21,8,,,
16,Family 20,Family 22,8,,,
16,Family 22,Family 20,20,,,
16,Family 22,Community,15,,,
16,Family 22,Community,15,,,
16,Family 19,Family 4,8,,,
16,Family 19,Family 13,8,,,
16,Family 19,Family 15,8,,,
16,Family 19,Family 17,45,,,
16,Family 17,Family 19,45,,,
16,Family 18,Family 19,45,,,
16,Family 20,Community,15,,,
16,Family 17,Family 4,8,,,
16,Family 17,Family 13,8,,,
16,Family 17,Family 15,8,,,
16,Family 18,Family 4,8,,,
16,Family 18,Family 13,8,,,
16,Family 18,Family 15,8,,,
16,Family 18,Family 17,45,,,
16,Family 15,Family 13,10,,,
16,Family 15,Community,45,,,
16,Family 16,Family 0,2,,,
16,Family 16,Family 1,2,,,
16,Family 16,Family 2,2,,,
16,Family 16,Family 3,2,,,
16,Family 16,Family 5,2,,,
16,Family 16,Family 3,20,,,
16,Family 16,Family 6,120,,,
16,Family 16,Family 7,15,,,
16,Family 6,Family 16,24,,,
16,Family 7,Family 16,24,,,
16,Family 10,Family 16,24,,,
16,Family 11,Family 16,24,,,
16,Family 13,Family 16,24,,,
16,Family 13,Community,30,,,
16,Family 14,Family 11,30,,,
16,Family 14,Family 0,2,,,
16,Family 14,Family 1,2,,,
16,Family 14,Family 2,2,,,
16,Family 14,Family 3,2,,,
16,Family 14,Family 5,2,,,
16,Family 11,Family 0,2,,,
16,Family 11,Family 1,2,,,
16,Family 11,Family 2,2,,,
16,Family 11,Family 3,2,,,
16,Family 11,Family 5,2,,,
16,Family 11,Family 6,25,,,
16,Family 11,Family 7,15,,,
16,Family 6,Family 11,60,,,
16,Family 7,Family 11,60,,,
16,Family 12,Community,90,,,
16,Family 12,Family 4,5,,,
16,Family 9,Family 3,5,,,
16,Family 10,Family 0,2,,,
16,Family 10,Family 1,2,,,
16,Family 10,Family 2,2,,,
16,Family 10,Family 3,2,,,
16,Family 10,Family 5,2,,,
16,Family 10,Family 6,25,,,
16,Family 10,Family 7,15,,,
16,Family 7,Family 6,20,,,
16,Family 7,Family 3,20,,,
16,Family 7,Family 0,2,,,
16,Family 7,Family 1,2,,,
16,Family 7,Family 2,2,,,
16,Family 7,Family 3,2,,,
16,Family 7,Family 5,2,,,
16,Family 7,Family 6,260,,,
16,Family 8,Family 0,20,,,
16,Family 8,Family 1,5,,,
16,Family 8,Family 2,10,,,
16,Family 8,Community,15,,,
16,Family 6,Family 3,20,,,
16,Family 6,Family 0,2,,,
16,Family 6,Family 1,2,,,
16,Family 6,Family 2,2,,,
16,Family 6,Family 3,2,,,
16,Family 6,Family 5,2,,,
16,Family 4,Community,60,,,
16,Family 5,Family 3,50,,,
16,Family 3,Family 5,15,,,
16,Family 5,Family 3,15,,,
16,Family 5,Family 3,45,,,
16,Family 2,Community,15,,,
16,Family 2,Family 1,10,,,
16,Family 2,Family 0,80,,,
16,Family 1,Family 2,15,,,
16,Family 0,Family 2,15,,,
16,Family 3,Community,15,,,
16,Family 1,Family 0,90,,,
17,Family 27,Family 13,400,,,
17,Family 27,Family 15,400,,,
17,Family 27,Family 25,400,,,
17,Family 27,Community,540,,,
17,Family 27,Family 13,8,,,
17,Family 27,Family 15,8,,,
17,Family 27,Family 25,8,,,
17,Family 27,Family 26,60,,,
17,Family 26,Family 27,120,,,
17,Family 28,Family 13,133,,,
17,Family 28,Family 15,133,,,
17,Family 28,Family 25,133,,,
17,Family 28,Family 13,13,,,
17,Family 28,Family 15,13,,,
17,Family 28,Family 25,13,,,
17,Family 28,Family 26,20,,,
17,Family 28,Family 27,5,,,
17,Family 28,Family 26,45,,,
17,Family 28,Family 27,45,,,
17,Family 26,Family 13,11,,,
17,Family 26,Family 15,11,,,
17,Family 26,Family 25,11,,,
17,Family 24,Family 23,60,,,
17,Family 24,Community,30,,,
17,Family 24,Family 20,5,,,
17,Family 24,Family 20,30,,,
17,Family 24,Family 22,30,,,
17,Family 24,Family 22,30,,,
17,Family 20,Family 24,15,,,
17,Family 21,Family 24,15,,,
17,Family 22,Family 24,15,,,
17,Family 23,Family 24,30,,,
17,Family 20,Family 24,10,,,
17,Family 21,Family 24,10,,,
17,Family 22,Family 24,10,,,
17,Family 23,Family 24,10,,,
17,Family 25,Family 24,10,,,
17,Family 21,Family 25,15,,,
17,Family 22,Family 25,15,,,
17,Family 23,Family 25,30,,,
17,Family 24,Family 25,30,,,
17,Family 25,Family 24,5,,,
17,Family 25,Family 23,5,,,
17,Family 25,Family 22,5,,,
17,Family 25,Community,90,,,
17,Family 23,Community,30,,,
17,Family 23,Family 22,5,,,
17,Family 23,Family 21,5,,,
17,Family 23,Family 20,20,,,
17,Family 22,Family 23,15,,,
17,Family 21,Family 23,15,,,
17,Family 20,Family 23,15,,,
17,Family 23,Family 21,15,,,
17,Family 21,Family 22,15,,,
17,Family 22,Community,15,,,
17,Family 22,Family 20,30,,,
17,Family 20,Family 21,8,,,
17,Family 20,Family 22,8,,,
17,Family 22,Family 20,20,,,
17,Family 22,Community,15,,,
17,Family 22,Community,15,,,
17,Family 19,Family 4,8,,,
17,Family 19,Family 13,8,,,
17,Family 19,Family 15,8,,,
17,Family 19,Family 17,45,,,
17,Family 17,Family 19,45,,,
17,Family 18,Family 19,45,,,
17,Family 20,Community,15,,,
17,Family 17,Family 4,8,,,
17,Family 17,Family 13,8,,,
17,Family 17,Family 15,8,,,
17,Family 18,Family 4,8,,,
17,Family 18,Family 13,8,,,
17,Family 18,Family 15,8,,,
17,Family 18,Family 17,45,,,
17,Family 15,Family 13,10,,,
17,Family 15,Community,45,,,
17,Family 16,Family 0,2,,,
17,Family 16,Family 1,2,,,
17,Family 16,Family 2,2,,,
17,Family 16,Family 3,2,,,
17,Family 16,Family 5,2,,,
17,Family 16,Family 3,20,,,
17,Family 16,Family 6,120,,,
17,Family 16,Family 7,15,,,
17,Family 6,Family 16,24,,,
17,Family 7,Family 16,24,,,
17,Family 10,Family 16,24,,,
17,Family 11,Family 16,24,,,
17,Family 13,Family 16,24,,,
17,Family 13,Community,30,,,
17,Family 14,Family 11,30,,,
17,Family 14,Family 0,2,,,
17,Family 14,Family 1,2,,,
17,Family 14,Family 2,2,,,
17,Family 14,Family 3,2,,,
17,Family 14,Family 5,2,,,
17,Family 11,Family 0,2,,,
17,Family 11,Family 1,2,,,
17,Family 11,Family 2,2,,,
17,Family 11,Family 3,2,,,
17,Family 11,Family 5,2,,,
17,Family 11,Family 6,25,,,
17,Family 11,Family 7,15,,,
17,Family 6,Family 11,60,,,
17,Family 7,Family 11,60,,,
17,Family 12,Community,90,,,
17,Family 12,Family 4,5,,,
17,Family 9,Family 3,5,,,
17,Family 10,Family 0,2,,,
17,Family 10,Family 1,2,,,
17,Family 10,Family 2,2,,,
17,Family 10,Family 3,2,,,
17,Family 10,Family 5,2,,,
17,Family 10,Family 6,25,,,
17,Family 10,Family 7,15,,,
17,Family 7,Family 6,20,,,
17,Family 7,Family 3,20,,,
17,Family 7,Family 0,2,,,
17,Family 7,Family 1,2,,,
17,Family 7,Family 2,2,,,
17,Family 7,Family 3,2,,,
17,Family 7,Family 5,2,,,
17,Family 7,Family 6,260,,,
17,Family 8,Family 0,20,,,
17,Family 8,Family 1,5,,,
17,Family 8,Family 2,10,,,
17,Family 8,Community,15,,,
17,Family 6,Family 3,20,,,
17,Family 6,Family 0,2,,,
17,Family 6,Family 1,2,,,
17,Family 6,Family 2,2,,,
17,Family 6,Family 3,2,,,
17,Family 6,Family 5,2,,,
17,Family 4,Community,60,,,
17,Family 5,Family 3,50,,,
17,Family 3,Family 5,15,,,
17,Family 5,Family 3,15,,,
17,Family 5,Family 3,45,,,
17,Family 2,Community,15,,,
17,Family 2,Family 1,10,,,
17,Family 2,Family 0,80,,,
17,Family 1,Family 2,15,,,
17,Family 0,Family 2,15,,,
17,Family 3,Community,15,,,
17,Family 1,Family 0,90,,,
18,Family 20,Community,244,,,
18,Family 21,Community,244,,,
18,Family 22,Community,244,,,
18,Family 23,Community,244,,,
18,Family 24,Community,244,,,
18,Family 29,Family 20,240,,,
18,Family 29,Family 21,240,,,
18,Family 29,Family 22,240,,,
18,Family 29,Family 23,240,,,
18,Family 29,Family 24,240,,,
18,Family 29,Community,840,,,
18,Family 29,Family 20,22,,,
18,Family 29,Family 21,22,,,
18,Family 29,Family 22,22,,,
18,Family 29,Family 23,22,,,
18,Family 29,Family 24,22,,,
18,Family 27,Family 13,8,,,
18,Family 27,Family 15,8,,,
18,Family 27,Family 25,8,,,
18,Family 27,Family 26,60,,,
18,Family 26,Family 27,120,,,
18,Family 28,Family 13,13,,,
18,Family 28,Family 15,13,,,
18,Family 28,Family 25,13,,,
18,Family 28,Family 26,20,,,
18,Family 28,Family 27,5,,,
18,Family 28,Family 26,45,,,
18,Family 28,Family 27,45,,,
18,Family 26,Family 13,11,,,
18,Family 26,Family 15,11,,,
18,Family 26,Family 25,11,,,
18,Family 24,Family 23,60,,,
18,Family 24,Community,30,,,
18,Family 24,Family 20,5,,,
18,Family 24,Family 20,30,,,
18,Family 24,Family 22,30,,,
18,Family 24,Family 22,30,,,
18,Family 20,Family 24,15,,,
18,Family 21,Family 24,15,,,
18,Family 22,Family 24,15,,,
18,Family 23,Family 24,30,,,
18,Family 20,Family 24,10,,,
18,Family 21,Family 24,10,,,
18,Family 22,Family 24,10,,,
18,Family 23,Family 24,10,,,
18,Family 25,Family 24,10,,,
18,Family 21,Family 25,15,,,
18,Family 22,Family 25,15,,,
18,Family 23,Family 25,30,,,
18,Family 24,Family 25,30,,,
18,Family 25,Family 24,5,,,
18,Family 25,Family 23,5,,,
18,Family 25,Family 22,5,,,
18,Family 25,Community,90,,,
18,Family 23,Community,30,,,
18,Family 23,Family 22,5,,,
18,Family 23,Family 21,5,,,
18,Family 23,Family 20,20,,,
18,Family 22,Family 23,15,,,
18,Family 21,Family 23,15,,,
18,Family 20,Family 23,15,,,
18,Family 23,Family 21,15,,,
18,Family 21,Family 22,15,,,
18,Family 22,Community,15,,,
18,Family 22,Family 20,30,,,
18,Family 20,Family 21,8,,,
18,Family 20,Family 22,8,,,
18,Family 22,Family 20,20,,,
18,Family 22,Community,15,,,
18,Family 22,Community,15,,,
18,Family 19,Family 4,8,,,
18,Family 19,Family 13,8,,,
18,Family 19,Family 15,8,,,
18,Family 19,Family 17,45,,,
18,Family 17,Family 19,45,,,
18,Family 18,Family 19,45,,,
18,Family 20,Community,15,,,
18,Family 17,Family 4,8,,,
18,Family 17,Family 13,8,,,
18,Family 17,Family 15,8,,,
18,Family 18,Family 4,8,,,
18,Family 18,Family 13,8,,,
18,Family 18,Family 15,8,,,
18,Family 18,Family 17,45,,,
18,Family 15,Family 13,10,,,
18,Family 15,Community,45,,,
18,Family 16,Family 0,2,,,
18,Family 16,Family 1,2,,,
18,Family 16,Family 2,2,,,
18,Family 16,Family 3,2,,,
18,Family 16,Family 5,2,,,
18,Family 16,Family 3,20,,,
18,Family 16,Family 6,120,,,
18,Family 16,Family 7,15,,,
18,Family 6,Family 16,24,,,
18,Family 7,Family 16,24,,,
18,Family 10,Family 16,24,,,
18,Family 11,Family 16,24,,,
18,Family 13,Family 16,24,,,
18,Family 13,Community,30,,,
18,Family 14,Family 11,30,,,
18,Family 14,Family 0,2,,,
18,Family 14,Family 1,2,,,
18,Family 14,Family 2,2,,,
18,Family 14,Family 3,2,,,
18,Family 14,Family 5,2,,,
18,Family 11,Family 0,2,,,
18,Family 11,Family 1,2,,,
18,Family 11,Family 2,2,,,
18,Family 11,Family 3,2,,,
18,Family 11,Family 5,2,,,
18,Family 11,Family 6,25,,,
18,Family 11,Family 7,15,,,
18,Family 6,Family 11,60,,,
18,Family 7,Family 11,60,,,
18,Family 12,Community,90,,,
18,Family 12,Family 4,5,,,
18,Family 9,Family 3,5,,,
18,Family 10,Family 0,2,,,
18,Family 10,Family 1,2,,,
18,Family 10,Family 2,2,,,
18,Family 10,Family 3,2,,,
18,Family 10,Family 5,2,,,
18,Family 10,Family 6,25,,,
18,Family 10,Family 7,15,,,
18,Family 7,Family 6,20,,,
18,Family 7,Family 3,20,,,
18,Family 7,Family 0,2,,,
18,Family 7,Family 1,2,,,
18,Family 7,Family 2,2,,,
18,Family 7,Family 3,2,,,
18,Family 7,Family 5,2,,,
18,Family 7,Family 6,260,,,
18,Family 8,Family 0,20,,,
18,Family 8,Family 1,5,,,
18,Family 8,Family 2,10,,,
18,Family 8,Community,15,,,
18,Family 6,Family 3,20,,,
18,Family 6,Family 0,2,,,
18,Family 6,Family 1,2,,,
18,Family 6,Family 2,2,,,
18,Family 6,Family 3,2,,,
18,Family 6,Family 5,2,,,
18,Family 4,Community,60,,,
18,Family 5,Family 3,50,,,
18,Family 3,Family 5,15,,,
18,Family 5,Family 3,15,,,
18,Family 5,Family 3,45,,,
18,Family 2,Community,15,,,
18,Family 2,Family 1,10,,,
18,Family 2,Family 0,80,,,
18,Family 1,Family 2,15,,,
18,Family 0,Family 2,15,,,
18,Family 3,Community,15,,,
18,Family 1,Family 0,90,,,
19,Family 6,Community,90,,,
19,Family 7,Community,90,,,
19,Family 10,Community,90,,,
19,Family 11,Community,90,,,
19,Family 30,Family 20,80,,,
19,Family 30,Family 21,80,,,
19,Family 30,Family 22,80,,,
19,Family 30,Family 23,80,,,
19,Family 30,Family 24,80,,,
19,Family 30,Community,240,,,
19,Family 30,Family 20,16,,,
19,Family 30,Family 21,16,,,
19,Family 30,Family 22,16,,,
19,Family 30,Family 23,16,,,
19,Family 30,Family 24,16,,,
19,Family 29,Family 30,60,,,
19,Family 29,Family 20,22,,,
19,Family 29,Family 21,22,,,
19,Family 29,Family 22,22,,,
19,Family 29,Family 23,22,,,
19,Family 29,Family 24,22,,,
19,Family 27,Family 13,8,,,
19,Family 27,Family 15,8,,,
19,Family 27,Family 25,8,,,
19,Family 27,Family 26,60,,,
19,Family 26,Family 27,120,,,
19,Family 28,Family 13,13,,,
19,Family 28,Family 15,13,,,
19,Family 28,Family 25,13,,,
19,Family 28,Family 26,20,,,
19,Family 28,Family 27,5,,,
19,Family 28,Family 26,45,,,
19,Family 28,Family 27,45,,,
19,Family 26,Family 13,11,,,
19,Family 26,Family 15,11,,,
19,Family 26,Family 25,11,,,
19,Family 24,Family 23,60,,,
19,Family 24,Community,30,,,
19,Family 24,Family 20,5,,,
19,Family 24,Family 20,30,,,
19,Family 24,Family 22,30,,,
19,Family 24,Family 22,30,,,
19,Family 20,Family 24,15,,,
19,Family 21,Family 24,15,,,
19,Family 22,Family 24,15,,,
19,Family 23,Family 24,30,,,
19,Family 20,Family 24,10,,,
19,Family 21,Family 24,10,,,
19,Family 22,Family 24,10,,,
19,Family 23,Family 24,10,,,
19,Family 25,Family 24,10,,,
19,Family 21,Family 25,15,,,
19,Family 22,Family 25,15,,,
19,Family 23,Family 25,30,,,
19,Family 24,Family 25,30,,,
19,Family 25,Family 24,5,,,
19,Family 25,Family 23,5,,,
19,Family 25,Family 22,5,,,
19,Family 25,Community,90,,,
19,Family 23,Community,30,,,
19,Family 23,Family 22,5,,,
19,Family 23,Family 21,5,,,
19,Family 23,Family 20,20,,,
19,Family 22,Family 23,15,,,
19,Family 21,Family 23,15,,,
19,Family 20,Family 23,15,,,
19,Family 23,Family 21,15,,,
19,Family 21,Family 22,15,,,
19,Family 22,Community,15,,,
19,Family 22,Family 20,30,,,
19,Family 20,Family 21,8,,,
19,Family 20,Family 22,8,,,
19,Family 22,Family 20,20,,,
19,Family 22,Community,15,,,
19,Family 22,Community,15,,,
19,Family 19,Family 4,8,,,
19,Family 19,Family 13,8,,,
19,Family 19,Family 15,8,,,
19,Family 19,Family 17,45,,,
19,Family 17,Family 19,45,,,
19,Family 18,Family 19,45,,,
19,Family 20,Community,15,,,
19,Family 17,Family 4,8,,,
19,Family 17,Family 13,8,,,
19,Family 17,Family 15,8,,,
19,Family 18,Family 4,8,,,
19,Family 18,Family 13,8,,,
19,Family 18,Family 15,8,,,
19,Family 18,Family 17,45,,,
19,Family 15,Family 13,10,,,
19,Family 15,Community,45,,,
19,Family 16,Family 0,2,,,
19,Family 16,Family 1,2,,,
19,Family 16,Family 2,2,,,
19,Family 16,Family 3,2,,,
19,Family 16,Family 5,2,,,
19,Family 16,Family 3,20,,,
19,Family 16,Family 6,120,,,
19,Family 16,Family 7,15,,,
19,Family 6,Family 16,24,,,
19,Family 7,Family 16,24,,,
19,Family 10,Family 16,24,,,
19,Family 11,Family 16,24,,,
19,Family 13,Family 16,24,,,
19,Family 13,Community,30,,,
19,Family 14,Family 11,30,,,
19,Family 14,Family 0,2,,,
19,Family 14,Family 1,2,,,
19,Family 14,Family 2,2,,,
19,Family 14,Family 3,2,,,
19,Family 14,Family 5,2,,,
19,Family 11,Family 0,2,,,
19,Family 11,Family 1,2,,,
19,Family 11,Family 2,2,,,
19,Family 11,Family 3,2,,,
19,Family 11,Family 5,2,,,
19,Family 11,Family 6,25,,,
19,Family 11,Family 7,15,,,
19,Family 6,Family 11,60,,,
19,Family 7,Family 11,60,,,
19,Family 12,Community,90,,,
19,Family 12,Family 4,5,,,
19,Family 9,Family 3,5,,,
19,Family 10,Family 0,2,,,
19,Family 10,Family 1,2,,,
19,Family 10,Family 2,2,,,
19,Family 10,Family 3,2,,,
19,Family 10,Family 5,2,,,
19,Family 10,Family 6,25,,,
19,Family 10,Family 7,15,,,
19,Family 7,Family 6,20,,,
19,Family 7,Family 3,20,,,
19,Family 7,Family 0,2,,,
19,Family 7,Family 1,2,,,
19,Family 7,Family 2,2,,,
19,Family 7,Family 3,2,,,
19,Family 7,Family 5,2,,,
19,Family 7,Family 6,260,,,
19,Family 8,Family 0,20,,,
19,Family 8,Family 1,5,,,
19,Family 8,Family 2,10,,,
19,Family 8,Community,15,,,
19,Family 6,Family 3,20,,,
19,Family 6,Family 0,2,,,
19,Family 6,Family 1,2,,,
19,Family 6,Family 2,2,,,
19,Family 6,Family 3,2,,,
19,Family 6,Family 5,2,,,
19,Family 4,Community,60,,,
19,Family 5,Family 3,50,,,
19,Family 3,Family 5,15,,,
19,Family 5,Family 3,15,,,
19,Family 5,Family 3,45,,,
19,Family 2,Community,15,,,
19,Family 2,Family 1,10,,,
19,Family 2,Family 0,80,,,
19,Family 1,Family 2,15,,,
19,Family 0,Family 2,15,,,
19,Family 3,Community,15,,,
19,Family 1,Family 0,90,,,
20,Family 31,Family 20,80,,,
20,Family 31,Family 21,80,,,
20,Family 31,Family 22,80,,,
20,Family 31,Family 23,80,,,
20,Family 31,Family 24,80,,,
20,Family 31,Community,360,,,
20,Family 31,Family 20,16,,,
20,Family 31,Family 21,16,,,
20,Family 31,Family 22,16,,,
20,Family 31,Family 23,16,,,
20,Family 31,Family 24,16,,,
20,Family 31,Family 30,30,,,
20,Family 31,Family 29,30,,,
20,Family 29,Family 31,60,,,
20,Family 30,Family 31,30,,,
20,Family 32,Family 20,80,,,
20,Family 32,Family 21,80,,,
20,Family 32,Family 22,80,,,
20,Family 32,Family 23,80,,,
20,Family 32,Family 24,80,,,
20,Family 32,Community,360,,,
20,Family 32,Family 20,8,,,
20,Family 32,Family 21,8,,,
20,Family 32,Family 22,8,,,
20,Family 32,Family 23,8,,,
20,Family 32,Family 24,8,,,
20,Family 32,Family 29,30,,,
20,Family 32,Family 30,30,,,
20,Family 32,Family 31,30,,,
20,Family 29,Family 32,30,,,
20,Family 30,Family 32,30,,,
20,Family 31,Family 32,30,,,
20,Family 30,Family 20,16,,,
20,Family 30,Family 21,16,,,
20,Family 30,Family 22,16,,,
20,Family 30,Family 23,16,,,
20,Family 30,Family 24,16,,,
20,Family 29,Family 30,60,,,
20,Family 29,Family 20,22,,,
20,Family 29,Family 21,22,,,
20,Family 29,Family 22,22,,,
20,Family 29,Family 23,22,,,
20,Family 29,Family 24,22,,,
20,Family 27,Family 13,8,,,
20,Family 27,Family 15,8,,,
20,Family 27,Family 25,8,,,
20,Family 27,Family 26,60,,,
20,Family 26,Family 27,120,,,
20,Family 28,Family 13,13,,,
20,Family 28,Family 15,13,,,
20,Family 28,Family 25,13,,,
20,Family 28,Family 26,20,,,
20,Family 28,Family 27,5,,,
20,Family 28,Family 26,45,,,
20,Family 28,Family 27,45,,,
20,Family 26,Family 13,11,,,
20,Family 26,Family 15,11,,,
20,Family 26,Family 25,11,,,
20,Family 24,Family 23,60,,,
20,Family 24,Community,30,,,
20,Family 24,Family 20,5,,,
20,Family 24,Family 20,30,,,
20,Family 24,Family 22,30,,,
20,Family 24,Family 22,30,,,
20,Family 20,Family 24,15,,,
20,Family 21,Family 24,15,,,
20,Family 22,Family 24,15,,,
20,Family 23,Family 24,30,,,
20,Family 20,Family 24,10,,,
20,Family 21,Family 24,10,,,
20,Family 22,Family 24,10,,,
20,Family 23,Family 24,10,,,
20,Family 25,Family 24,10,,,
20,Family 21,Family 25,15,,,
20,Family 22,Family 25,15,,,
20,Family 23,Family 25,30,,,
20,Family 24,Family 25,30,,,
20,Family 25,Family 24,5,,,
20,Family 25,Family 23,5,,,
20,Family 25,Family 22,5,,,
20,Family 25,Community,90,,,
20,Family 23,Community,30,,,
20,Family 23,Family 22,5,,,
20,Family 23,Family 21,5,,,
20,Family 23,Family 20,20,,,
20,Family 22,Family 23,15,,,
20,Family 21,Family 23,15,,,
20,Family 20,Family 23,15,,,
20,Family 23,Family 21,15,,,
20,Family 21,Family 22,15,,,
20,Family 22,Community,15,,,
20,Family 22,Family 20,30,,,
20,Family 20,Family 21,8,,,
20,Family 20,Family 22,8,,,
20,Family 22,Family 20,20,,,
20,Family 22,Community,15,,,
20,Family 22,Community,15,,,
20,Family 19,Family 4,8,,,
20,Family 19,Family 13,8,,,
20,Family 19,Family 15,8,,,
20,Family 19,Family 17,45,,,
20,Family 17,Family 19,45,,,
20,Family 18,Family 19,45,,,
20,Family 20,Community,15,,,
20,Family 17,Family 4,8,,,
20,Family 17,Family 13,8,,,
20,Family 17,Family 15,8,,,
20,Family 18,Family 4,8,,,
20,Family 18,Family 13,8,,,
20,Family 18,Family 15,8,,,
20,Family 18,Family 17,45,,,
20,Family 15,Family 13,10,,,
20,Family 15,Community,45,,,
20,Family 16,Family 0,2,,,
20,Family 16,Family 1,2,,,
20,Family 16,Family 2,2,,,
20,Family 16,Family 3,2,,,
20,Family 16,Family 5,2,,,
20,Family 16,Family 3,20,,,
20,Family 16,Family 6,120,,,
20,Family 16,Family 7,15,,,
20,Family 6,Family 16,24,,,
20,Family 7,Family 16,24,,,
20,Family 10,Family 16,24,,,
20,Family 11,Family 16,24,,,
20,Family 13,Family 16,24,,,
20,Family 13,Community,30,,,
20,Family 14,Family 11,30,,,
20,Family 14,Family 0,2,,,
20,Family 14,Family 1,2,,,
20,Family 14,Family 2,2,,,
